condition,condition_labs,subject,trial,score,ignap,ignba,icint
10 bananas 70 apples,hi10lo70,12,12,14,0.6,0,1.1021722549020185
10 bananas 70 apples,hi10lo70,12,13,28,0.16666666666666666,0,1.7673734999999093
10 bananas 70 apples,hi10lo70,12,14,25,0.5882352941176471,0,1.2298048888889348
10 bananas 70 apples,hi10lo70,12,15,31,0.9333333333333333,0,1.3707043902441667
10 bananas 70 apples,hi10lo70,12,16,35,0.6875,0,1.1201591000001645
10 bananas 70 apples,hi10lo70,12,17,20,0.9166666666666666,0,1.0140218181816056
10 bananas 70 apples,hi10lo70,12,18,18,1,0,1.0227517272726718
10 bananas 70 apples,hi10lo70,12,19,31,0.9473684210526315,0,1.2532489999999397
10 bananas 70 apples,hi10lo70,12,20,28,0.7333333333333333,0,1.100309387755186
40 bananas 40 apples,hi40lo40,13,1,59,0.375,0,1.4009138157891452
40 bananas 40 apples,hi40lo40,13,2,63,0.4,0,1.4334996153849762
40 bananas 40 apples,hi40lo40,13,3,46,0.6363636363636364,0,1.5584225675674797
40 bananas 40 apples,hi40lo40,13,4,52,0.5,0,1.5514043055558835
40 bananas 40 apples,hi40lo40,13,5,59,0.2857142857142857,0,1.9103345000000749
40 bananas 40 apples,hi40lo40,13,6,52,0.6,0,1.822194843750367
40 bananas 40 apples,hi40lo40,13,7,55,0.8571428571428571,0,1.8212885483874068
40 bananas 40 apples,hi40lo40,13,8,50,0.75,0,1.4054156250000234
40 bananas 40 apples,hi40lo40,13,9,45,0.5,0,1.9818935714283725
40 bananas 40 apples,hi40lo40,13,10,45,0.6666666666666666,0,1.4993820270268574
40 bananas 40 apples,hi40lo40,13,11,40,0.42857142857142855,0,1.7956621875000565
40 bananas 40 apples,hi40lo40,13,12,47,0.4444444444444444,0,1.7551574193555186
40 bananas 40 apples,hi40lo40,13,13,51,0.7272727272727273,0,1.6201297142858884
40 bananas 40 apples,hi40lo40,13,14,52,0.3333333333333333,0,1.8271467741935574
40 bananas 40 apples,hi40lo40,13,15,37,0.875,0.14285714285714285,1.4328310526310049
40 bananas 40 apples,hi40lo40,13,16,32,0.1111111111111111,0.2,1.536182916666601
40 bananas 40 apples,hi40lo40,13,17,44,0.2,0,1.9177973214277049
40 bananas 40 apples,hi40lo40,13,18,55,0.8888888888888888,0,1.9085657407413237
40 bananas 40 apples,hi40lo40,13,19,45,0.5714285714285714,0,1.8858204999996815
40 bananas 40 apples,hi40lo40,13,20,42,0.25,0,1.8898921666666866
40 bananas 40 apples,hi40lo40,14,1,63,0.1,0,1.370634146341464
40 bananas 40 apples,hi40lo40,14,2,45,0.1,0,1.3073953488372103
40 bananas 40 apples,hi40lo40,14,3,66,0,0,1.3532499999999998
40 bananas 40 apples,hi40lo40,14,4,59,0,0,1.2749302325581395
40 bananas 40 apples,hi40lo40,14,5,56,0.3333333333333333,0,1.1050384615384614
40 bananas 40 apples,hi40lo40,14,6,62,0.8,0,1.150820000000001
40 bananas 40 apples,hi40lo40,14,7,66,1,0.08333333333333333,1.2843409090909084
40 bananas 40 apples,hi40lo40,14,8,60,1,0,1.0343703703703702
40 bananas 40 apples,hi40lo40,14,9,60,1,0,1.066314814814813
40 bananas 40 apples,hi40lo40,14,10,54,1,0,1.019946428571428
